expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
313,8,1.1,45,0.010,0.330,0.8414251430681189,11975
314,8,1.2,45,0.010,0.330,0.8423529411764706,9448
315,8,1.3,45,0.010,0.330,0.8393222863526345,11163
316,8,1.35,45,0.010,0.330,0.8416529530078625,12613
317,8,1.375,45,0.010,0.330,0.8323863636363636,10829
318,8,1.4,45,0.010,0.330,0.805327868852459,13351
319,8,1.425,45,0.010,0.330,0.855072463768116,15239
320,8,1.45,45,0.010,0.330,0.8425908491809452,11252
321,8,1.5,45,0.010,0.330,0.8548700038804812,10284
322,8,1.7,45,0.010,0.330,0.7983477281261735,10583
323,8,1.85,45,0.010,0.330,0.8302533815964945,11705
324,8,2.0,45,0.010,0.330,0.6853488809479029,11835
325,16,1.02,45,0.010,0.330,0.8274713069233617,22138
326,16,1.05,45,0.010,0.330,0.8275032389413289,29627
327,16,1.1,45,0.010,0.330,0.8568215892053973,22607
328,16,1.2,45,0.010,0.330,0.8309911935544313,28988
329,16,1.3,45,0.010,0.330,0.7168092227593901,18548
330,16,1.35,45,0.010,0.330,0.7820069204152249,18399
331,16,1.375,45,0.010,0.330,0.780763528539659,17184
332,16,1.4,45,0.010,0.330,0.7833641404805914,17206
333,28,1.02,45,0.010,0.330,0.8190880561196234,34526
334,28,1.05,45,0.010,0.330,0.8275798069784707,38944
335,28,1.1,45,0.010,0.330,0.7674721189591078,31460
336,28,1.2,45,0.010,0.330,0.6457034938621341,23908
337,48,1.02,45,0.010,0.330,0.8408669877732493,53670
338,48,1.05,45,0.010,0.330,0.7818317200297841,50408
339,48,1.1,45,0.010,0.330,0.7119056533133657,39882
340,8,1.02,70,0.010,0.330,0.8238293051359517,10502
341,8,1.05,70,0.010,0.330,0.845054741139358,12449
342,8,1.1,70,0.010,0.330,0.8592974066580835,11837
343,8,1.2,70,0.010,0.330,0.8338380015140046,20689
344,8,1.3,70,0.010,0.330,0.814807976366322,11578
345,8,1.35,70,0.010,0.330,0.8174735670562048,17817
