expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
898,1,8,1.7,2,0.1,0,0.5,0.662780602753318,13413
281,1,8,2,20,0.02,0,0.2,0.662772825084537,8176
857,1,16,1.4,20,0.1,0,0.33,0.662766559728251,25807
509,2,16,150,2,0.1,1,0.2,0.662580447441005,13933
448,1,16,1.1,20,0.02,0,0.5,0.662409431413484,32027
110,2,28,100,2,0.02,1,0.33,0.662395543175487,25067
1389,2,8,100,2,0.4,0,0.5,0.662175525339926,18894
1351,2,28,60,20,0.4,0,0.33,0.662144821264895,29877
249,1,8,1.45,2,0.02,0,0.2,0.662111801242236,8391
899,1,8,2,2,0.1,0,0.5,0.662094304960196,15660
959,2,8,150,45,0.1,0,0.5,0.661732050333087,14745
247,1,8,1.35,2,0.02,0,0.2,0.66131475310512,6519
238,2,16,150,45,0.02,1,0.5,0.661046367468386,24963
339,1,16,1.2,2,0.02,0,0.33,0.661020104244229,20131
459,2,28,10,20,0.02,0,0.5,0.660533465053099,51562
360,1,8,1.45,20,0.02,0,0.33,0.66044776119403,11909
382,1,8,1.1,45,0.02,0,0.33,0.66044142614601,9173
1386,1,8,2.4,2,0.4,0,0.5,0.660340152822282,15559
